UserID,Age,Income,Occupation,Education,Location,BrandPreference,CurrentPhone,PurchaseIntent,PurchaseTimeframe,FeaturesImportant,OnlineActivity,PreviousPurchases,PromotionResponse,Target
1,56,45795,Designer,PhD,Ahmedabad,Realme,Realme 7,Yes,2 months,Design,Low,2,Yes,0
2,47,97969,Lawyer,Bachelor,Mumbai,Xiaomi,Xiaomi Mi 10,No,,Battery;Performance,Medium,3,No,0
3,32,95725,Doctor,PhD,Bengaluru,Xiaomi,Xiaomi Redmi 9,No,,Battery,Low,1,No,0
4,31,103969,Teacher,Bachelor,Lucknow,Realme,Realme 8,No,,Design,Low,0,Yes,0
5,57,119475,Teacher,Master,Kolkata,Apple,iPhone 11,Yes,,Camera;Price,Medium,3,Yes,1
6,33,54300,Teacher,PhD,Chennai,Apple,iPhone XR,Yes,6 months,Battery,Low,0,No,1
7,41,78190,Manager,PhD,Mumbai,OnePlus,OnePlus 9,No,,Performance,High,0,No,0
8,51,82256,Lawyer,PhD,Delhi,Realme,Realme 7,No,,Battery;Performance,Low,2,No,0
9,43,36910,Doctor,PhD,Jaipur,Apple,iPhone 11,No,,Price,Medium,4,Yes,0
10,32,63827,Designer,PhD,Bengaluru,Xiaomi,Xiaomi Mi 10,No,,Performance;Price,High,3,Yes,0
11,28,48047,Teacher,PhD,Jaipur,Samsung,Samsung S9,Yes,3 months,Battery;Performance,Low,2,Yes,1
12,59,96199,Sales,PhD,Kolkata,Samsung,Samsung S9,Yes,2 months,Design;Performance,Low,0,Yes,0
13,45,30854,Designer,Bachelor,Mumbai,OnePlus,OnePlus 8,Yes,6 months,Camera;Battery,Low,4,No,1
14,28,110623,Lawyer,Bachelor,Jaipur,Xiaomi,Xiaomi Redmi 9,Yes,1 month,Camera;Battery,Medium,2,Yes,1
15,58,114896,Lawyer,PhD,Pune,Samsung,Samsung S20,Yes,1 month,Camera,Low,0,No,1
16,18,50932,Designer,PhD,Delhi,Samsung,Samsung S9,Yes,,Camera,High,3,Yes,1
17,55,83351,Student,Master,Bengaluru,Samsung,Samsung S20,No,,Price;Camera,Medium,0,Yes,0
18,21,53328,Doctor,Bachelor,Hyderabad,OnePlus,OnePlus 7,Yes,6 months,Camera,Low,4,Yes,0
19,44,79377,Designer,Master,Mumbai,Xiaomi,Xiaomi Redmi 9,No,,Design,Low,0,Yes,0
20,45,48589,Designer,Master,Chennai,OnePlus,OnePlus 7,No,,Performance,High,0,Yes,0
